; - Taxiway1
REGIONNAME Mount Pleasant
smrGrey S051.49.13.354 W058.27.48.700
S051.49.13.122 W058.27.47.888
; - Untitled_Polygon_8
REGIONNAME Mount Plesant
smrGreen S051.49.24.575 W058.26.23.072
S051.49.24.680 W058.26.22.118
S051.49.24.697 W058.26.21.229
S051.49.24.497 W058.26.20.686
S051.49.24.166 W058.26.20.432
S051.49.23.766 W058.26.20.413
S051.49.23.333 W058.26.20.629
S051.49.23.055 W058.26.20.989
S051.49.22.953 W058.26.21.283
S051.49.22.621 W058.26.22.538
S051.49.22.406 W058.26.23.437
S051.49.22.253 W058.26.24.438
S051.49.22.149 W058.26.25.466
S051.49.22.210 W058.26.26.068
S051.49.22.319 W058.26.26.787
S051.49.22.478 W058.26.27.672
S051.49.22.664 W058.26.28.669
S051.49.22.855 W058.26.29.663
S051.49.23.098 W058.26.30.774
S051.49.23.252 W058.26.31.449
S051.49.24.469 W058.26.24.289
; - Untitled_Polygon_9
REGIONNAME Mount Plesant
smrGreen S051.48.58.596 W058.26.08.525
S051.48.56.989 W058.26.08.345
S051.48.56.578 W058.26.08.927
S051.48.56.126 W058.26.08.911
S051.48.55.596 W058.26.07.921
S051.48.54.639 W058.26.07.775
S051.48.54.430 W058.26.08.039
S051.48.53.909 W058.26.17.611
S051.48.54.092 W058.26.18.009
S051.48.55.769 W058.26.18.212
S051.48.55.890 W058.26.18.089
S051.48.57.186 W058.26.18.183
; - Untitled_Polygon_10
REGIONNAME Mount Plesant
smrGreen S051.48.58.616 W058.26.07.470
S051.48.58.551 W058.26.08.477
S051.48.57.156 W058.26.18.134
S051.48.57.081 W058.26.19.198
S051.48.55.633 W058.26.19.053
S051.48.55.197 W058.26.19.624
S051.48.54.638 W058.26.19.580
S051.48.54.217 W058.26.18.656
S051.48.54.033 W058.26.18.637
S051.48.53.838 W058.26.18.868
S051.48.53.667 W058.26.21.588
S051.48.53.527 W058.26.23.686
S051.48.53.455 W058.26.25.429
S051.48.53.560 W058.26.26.783
S051.48.53.683 W058.26.27.578
S051.48.54.031 W058.26.29.031
S051.48.54.585 W058.26.30.209
S051.48.54.748 W058.26.30.584
S051.48.55.632 W058.26.31.642
S051.48.56.069 W058.26.32.046
S051.48.56.473 W058.26.32.359
S051.48.57.257 W058.26.32.691
S051.48.57.781 W058.26.32.830
S051.48.58.285 W058.26.32.843
S051.48.58.738 W058.26.32.777
S051.48.59.538 W058.26.32.502
S051.49.00.138 W058.26.32.099
S051.49.00.668 W058.26.31.602
S051.49.03.114 W058.26.28.893
S051.49.03.152 W058.26.28.319
S051.49.02.495 W058.26.26.829
S051.49.01.452 W058.26.26.493
S051.49.00.245 W058.26.27.852
S051.48.59.864 W058.26.27.091
S051.49.00.750 W058.26.26.103
S051.49.01.096 W058.26.25.850
S051.49.01.830 W058.26.25.018
S051.49.02.241 W058.26.25.160
S051.49.03.439 W058.26.28.042
S051.49.03.781 W058.26.28.083
S051.49.04.655 W058.26.27.098
S051.49.05.677 W058.26.25.964
S051.49.06.687 W058.26.25.052
S051.49.07.397 W058.26.24.678
S051.49.07.843 W058.26.24.568
S051.49.09.714 W058.26.24.199
S051.49.10.170 W058.26.24.085
S051.49.10.612 W058.26.23.866
S051.49.11.220 W058.26.23.442
S051.49.11.359 W058.26.23.035
S051.49.11.399 W058.26.22.586
S051.49.01.740 W058.25.59.978
; - Untitled_Polygon_11
REGIONNAME Mount Plesant
smrGreen S051.49.01.673 W058.25.59.880
S051.48.58.922 W058.25.57.782
S051.48.58.214 W058.25.56.177
S051.48.57.487 W058.25.56.938
S051.48.57.083 W058.25.57.358
S051.48.56.439 W058.25.58.063
S051.48.55.886 W058.25.58.862
S051.48.55.517 W058.25.59.627
S051.48.55.132 W058.26.00.652
S051.48.54.873 W058.26.01.773
S051.48.54.711 W058.26.03.043
S051.48.54.532 W058.26.06.767
S051.48.54.736 W058.26.07.191
S051.48.57.142 W058.26.07.529
S051.48.57.397 W058.26.07.405
S051.48.58.595 W058.26.07.512
S051.49.01.754 W058.26.00.110
; - Edges
REGIONNAME Mount Plesant
smrBlue S051.49.11.054 W058.27.05.703
S051.49.10.040 W058.27.05.159
S051.49.09.760 W058.27.03.789
S051.49.09.974 W058.27.02.510
S051.49.10.781 W058.27.01.769
S051.49.12.278 W058.27.02.453
S051.49.14.294 W058.26.50.876
S051.49.12.757 W058.26.50.162
S051.49.12.328 W058.26.48.994
S051.49.12.498 W058.26.47.596
S051.49.13.497 W058.26.46.680
S051.49.14.912 W058.26.47.330
S051.49.16.520 W058.26.38.152
S051.49.16.661 W058.26.36.391
S051.49.16.645 W058.26.35.472
S051.49.16.586 W058.26.34.665
S051.49.14.650 W058.26.30.120
S051.49.12.275 W058.26.24.582
S051.49.11.341 W058.26.24.477
S051.49.09.140 W058.26.24.937
S051.49.07.469 W058.26.25.272
S051.49.06.346 W058.26.25.981
S051.49.05.442 W058.26.27.019
S051.49.02.822 W058.26.29.921
S051.49.01.591 W058.26.31.367
S051.49.01.108 W058.26.31.944
S051.48.59.887 W058.26.32.972
S051.48.59.043 W058.26.33.280
S051.48.58.431 W058.26.33.485
S051.48.58.242 W058.26.33.809
S051.48.58.239 W058.26.33.881
S051.48.58.320 W058.26.34.151
S051.48.58.796 W058.26.34.978
S051.48.58.795 W058.26.35.599
S051.48.58.370 W058.26.36.226
S051.48.58.346 W058.26.38.617
S051.48.57.695 W058.26.38.622
S051.48.57.692 W058.26.36.744
S051.48.57.827 W058.26.36.422
S051.48.57.852 W058.26.33.801
S051.48.57.654 W058.26.33.460
S051.48.57.331 W058.26.33.354
S051.48.56.570 W058.26.33.025
S051.48.55.835 W058.26.32.551
S051.48.55.185 W058.26.31.917
S051.48.54.447 W058.26.30.871
S051.48.54.088 W058.26.30.847
S051.48.52.551 W058.26.32.849
S051.48.52.121 W058.26.32.814
S051.48.51.523 W058.26.31.584
S051.48.51.269 W058.26.31.404
S051.48.50.551 W058.26.29.718
S051.48.51.023 W058.26.29.169
S051.48.51.976 W058.26.31.173
S051.48.52.935 W058.26.31.470
S051.48.53.893 W058.26.30.307
S051.48.53.910 W058.26.29.942
S051.48.53.710 W058.26.29.121
S051.48.53.222 W058.26.27.301
S051.48.53.224 W058.26.22.743
S051.48.53.578 W058.26.16.733
S051.48.53.399 W058.26.16.221
S051.48.51.244 W058.26.15.849
S051.48.51.069 W058.26.15.179
S051.48.51.098 W058.26.13.942
S051.48.51.083 W058.26.13.732
S051.48.51.173 W058.26.11.565
S051.48.51.768 W058.26.11.667
S051.48.51.645 W058.26.14.214
S051.48.52.287 W058.26.15.408
S051.48.52.875 W058.26.15.478
S051.48.53.408 W058.26.15.595
S051.48.53.620 W058.26.15.224
S051.48.54.355 W058.26.02.874
S051.48.54.153 W058.26.02.415
S051.48.54.015 W058.26.02.399
S051.48.50.598 W058.26.01.172
S051.48.50.255 W058.26.01.146
S051.48.49.047 W058.26.00.516
S051.48.49.192 W058.25.59.665
S051.48.35.355 W058.25.54.477
S051.48.10.530 W058.28.27.833
S051.49.19.638 W058.28.57.581
S051.49.50.697 W058.25.45.740
S051.48.41.446 W058.25.16.648
S051.48.35.369 W058.25.54.479
S051.48.49.197 W058.25.59.658
S051.48.50.726 W058.26.00.273
S051.48.51.262 W058.25.59.765
S051.48.51.617 W058.25.59.883
S051.48.52.136 W058.26.01.076
S051.48.54.199 W058.26.01.846
S051.48.54.544 W058.26.01.556
S051.48.54.687 W058.26.00.833
S051.48.54.606 W058.26.00.258
S051.48.52.830 W058.25.58.741
S051.48.52.678 W058.25.58.175
S051.48.53.063 W058.25.56.916
S051.48.53.105 W058.25.56.326
S051.48.53.676 W058.25.54.544
S051.48.54.222 W058.25.55.101
S051.48.53.542 W058.25.57.336
S051.48.53.841 W058.25.58.882
S051.48.54.735 W058.25.59.711
S051.48.55.017 W058.25.59.595
S051.48.55.049 W058.25.59.581
S051.48.55.094 W058.25.59.558
S051.48.55.702 W058.25.58.345
S051.48.55.432 W058.25.58.766
S051.48.56.080 W058.25.57.758
S051.48.57.916 W058.25.55.688
S051.48.59.719 W058.25.53.514
S051.48.59.867 W058.25.53.447
S051.49.05.468 W058.25.47.260
S051.49.06.873 W058.25.45.808
S051.49.07.386 W058.25.45.436
S051.49.07.706 W058.25.45.270
S051.49.08.292 W058.25.45.076
S051.49.09.236 W058.25.44.945
S051.49.09.543 W058.25.45.039
S051.49.10.887 W058.25.45.531
S051.49.11.571 W058.25.46.122
S051.49.12.547 W058.25.47.237
S051.49.12.912 W058.25.47.223
S051.49.12.939 W058.25.47.089
S051.49.12.988 W058.25.45.803
S051.49.13.357 W058.25.45.346
S051.49.13.882 W058.25.45.402
S051.49.15.028 W058.25.43.578
S051.49.15.458 W058.25.44.543
S051.49.14.314 W058.25.46.010
S051.49.13.112 W058.25.47.763
S051.49.13.092 W058.25.48.234
S051.49.13.146 W058.25.48.377
S051.49.13.820 W058.25.50.519
S051.49.15.547 W058.25.58.426
S051.49.15.863 W058.25.58.593
S051.49.17.416 W058.25.57.652
S051.49.17.760 W058.25.56.437
S051.49.18.143 W058.25.56.304
S051.49.18.644 W058.25.56.713
S051.49.20.152 W058.25.55.772
S051.49.20.349 W058.25.56.732
S051.49.19.129 W058.25.57.536
S051.49.18.939 W058.25.57.434
S051.49.15.975 W058.25.59.223
S051.49.15.860 W058.25.59.866
S051.49.18.177 W058.26.10.225
S051.49.18.467 W058.26.09.992
S051.49.18.874 W058.26.07.443
S051.49.18.469 W058.26.06.370
S051.49.18.579 W058.26.05.777
S051.49.19.110 W058.26.05.247
S051.49.19.490 W058.26.02.695
S051.49.20.129 W058.26.02.946
S051.49.18.745 W058.26.10.693
S051.49.18.794 W058.26.12.878
S051.49.19.259 W058.26.15.013
S051.49.19.480 W058.26.14.809
S051.49.20.218 W058.26.10.359
S051.49.20.203 W058.26.09.930
S051.49.20.479 W058.26.08.040
S051.49.21.146 W058.26.08.342
S051.49.20.755 W058.26.10.785
S051.49.21.048 W058.26.11.624
S051.49.20.955 W058.26.12.289
S051.49.20.229 W058.26.12.901
S051.49.19.831 W058.26.15.436
S051.49.19.807 W058.26.17.445
S051.49.20.702 W058.26.21.428
S051.49.21.421 W058.26.24.553
S051.49.21.661 W058.26.23.188
S051.49.22.065 W058.26.20.945
S051.49.22.356 W058.26.20.126
S051.49.22.805 W058.26.19.443
S051.49.23.065 W058.26.19.151
S051.49.23.793 W058.26.18.843
S051.49.24.493 W058.26.19.000
S051.49.25.251 W058.26.19.317
S051.49.25.322 W058.26.19.228
S051.49.26.757 W058.26.19.831
S051.49.25.352 W058.26.28.022
S051.49.23.153 W058.26.41.104
S051.49.22.501 W058.26.44.938
S051.49.22.528 W058.26.45.817
S051.49.22.678 W058.26.46.653
S051.49.22.863 W058.26.47.109
S051.49.25.471 W058.26.53.277
S051.49.28.168 W058.26.55.346
S051.49.29.178 W058.26.57.535
S051.49.27.360 W058.26.59.796
S051.49.23.615 W058.26.50.982
S051.49.22.813 W058.26.49.109
S051.49.22.491 W058.26.49.027
S051.49.22.256 W058.26.49.050
S051.49.21.883 W058.26.49.303
S051.49.21.705 W058.26.49.632
S051.49.17.510 W058.27.14.485
S051.49.14.137 W058.27.34.481
S051.49.14.033 W058.27.34.896
S051.49.15.463 W058.27.38.773
S051.49.23.170 W058.27.59.741
S051.49.24.267 W058.28.00.201
S051.49.23.563 W058.28.04.669
S051.49.22.130 W058.28.04.124
S051.49.21.859 W058.28.05.746
S051.49.23.726 W058.28.06.658
S051.49.23.426 W058.28.08.841
S051.49.24.642 W058.28.09.496
S051.49.24.532 W058.28.10.480
S051.49.24.808 W058.28.10.672
S051.49.24.649 W058.28.11.623
S051.49.21.191 W058.28.10.044
S051.49.22.827 W058.27.59.617
S051.49.22.125 W058.28.04.139
S051.49.22.470 W058.28.04.243
S051.49.23.179 W058.27.59.773
S051.49.14.033 W058.27.34.896
S051.49.13.585 W058.27.37.782
S051.49.12.640 W058.27.43.318
S051.49.12.523 W058.27.44.440
S051.49.12.507 W058.27.45.727
S051.49.12.641 W058.27.46.361
S051.49.13.405 W058.27.48.813
S051.49.15.055 W058.27.53.464
S051.49.15.728 W058.27.55.303
S051.49.16.099 W058.27.55.838
S051.49.16.427 W058.27.56.239
S051.49.17.087 W058.27.56.570
S051.49.22.094 W058.27.58.851
S051.49.18.088 W058.28.24.994
S051.49.19.643 W058.28.25.620
S051.49.19.021 W058.28.29.730
S051.49.18.385 W058.28.29.445
S051.49.18.154 W058.28.29.928
S051.49.17.978 W058.28.31.226
S051.49.17.630 W058.28.33.122
S051.49.17.733 W058.28.33.315
S051.49.18.427 W058.28.33.526
S051.49.18.285 W058.28.35.232
S051.49.17.194 W058.28.35.086
S051.49.17.051 W058.28.35.967
S051.49.17.038 W058.28.36.503
S051.49.17.203 W058.28.36.764
S051.49.17.359 W058.28.36.786
S051.49.17.625 W058.28.36.783
S051.49.17.735 W058.28.36.909
S051.49.17.743 W058.28.37.204
S051.49.17.757 W058.28.37.856
S051.49.17.714 W058.28.38.143
S051.49.17.690 W058.28.38.372
S051.49.17.496 W058.28.38.528
S051.49.16.701 W058.28.38.356
S051.49.16.758 W058.28.37.131
S051.49.16.705 W058.28.35.817
S051.49.16.924 W058.28.34.499
S051.49.16.897 W058.28.34.093
S051.49.16.764 W058.28.34.152
S051.49.14.482 W058.28.33.141
S051.49.13.761 W058.28.32.858
S051.49.13.572 W058.28.33.402
S051.49.13.164 W058.28.36.453
S051.49.11.471 W058.28.38.029
S051.49.09.344 W058.28.40.134
S051.49.08.919 W058.28.40.217
S051.49.08.497 W058.28.39.841
S051.49.08.919 W058.28.37.092
S051.49.10.425 W058.28.35.499
S051.49.11.439 W058.28.34.657
S051.49.12.846 W058.28.33.177
S051.49.13.018 W058.28.32.990
S051.49.13.115 W058.28.32.744
S051.49.13.177 W058.28.32.321
S051.49.13.572 W058.28.30.151
S051.49.13.698 W058.28.29.162
S051.49.15.287 W058.28.27.754
S051.49.15.814 W058.28.24.174
S051.49.17.479 W058.28.24.661
S051.49.17.797 W058.28.22.689
S051.49.14.280 W058.28.20.989
S051.49.13.113 W058.28.21.019
S051.49.12.333 W058.28.21.554
S051.49.11.801 W058.28.22.373
S051.49.11.354 W058.28.25.221
S051.49.10.957 W058.28.27.830
S051.49.10.567 W058.28.29.228
S051.49.10.033 W058.28.30.585
S051.49.09.161 W058.28.31.551
S051.49.08.108 W058.28.31.879
S051.49.07.234 W058.28.31.656
S051.49.03.111 W058.28.30.045
S051.49.04.101 W058.28.24.280
S051.49.03.871 W058.28.23.786
S051.49.03.608 W058.28.23.345
S051.48.57.371 W058.28.20.508
S051.48.56.212 W058.28.21.539
S051.48.55.087 W058.28.21.080
S051.48.54.531 W058.28.19.862
S051.48.54.847 W058.28.18.185
S051.48.55.778 W058.28.17.618
S051.48.56.819 W058.28.18.029
S051.48.57.478 W058.28.19.530
S051.48.58.719 W058.28.20.170
S051.49.02.097 W058.28.21.814
S051.49.03.514 W058.28.22.467
S051.49.03.985 W058.28.22.474
S051.49.04.444 W058.28.22.104
S051.49.09.105 W058.27.54.764
S051.49.08.988 W058.27.54.095
S051.49.08.795 W058.27.53.743
S051.49.04.656 W058.27.51.848
S051.49.03.555 W058.27.52.861
S051.49.02.698 W058.27.52.540
S051.49.02.165 W058.27.51.191
S051.49.02.478 W058.27.49.685
S051.49.03.307 W058.27.48.977
S051.49.04.213 W058.27.49.418
S051.49.04.755 W058.27.51.065
S051.49.08.028 W058.27.52.575
S051.49.08.984 W058.27.52.934
S051.49.09.482 W058.27.52.274
S051.49.15.705 W058.27.15.818
S051.49.15.705 W058.27.15.180
S051.49.15.550 W058.27.14.262
S051.49.14.321 W058.27.10.895
S051.49.12.533 W058.27.05.725
S051.49.12.259 W058.27.05.326
S051.49.11.739 W058.27.05.161
; - Middle
REGIONNAME Mount Plesant
smrGreen S051.49.20.360 W058.26.41.240
S051.49.20.579 W058.26.41.498
S051.49.21.043 W058.26.41.559
S051.49.21.346 W058.26.41.381
S051.49.21.645 W058.26.40.833
S051.49.22.709 W058.26.34.543
S051.49.22.807 W058.26.33.083
S051.49.22.238 W058.26.30.192
S051.49.20.496 W058.26.22.460
S051.49.20.207 W058.26.21.361
S051.49.19.992 W058.26.21.273
S051.49.17.984 W058.26.22.324
S051.49.17.663 W058.26.22.067
S051.49.17.293 W058.26.20.569
S051.49.17.150 W058.26.20.341
S051.49.16.744 W058.26.18.600
S051.49.17.381 W058.26.18.172
S051.49.17.935 W058.26.20.491
S051.49.18.825 W058.26.21.179
S051.49.19.821 W058.26.20.584
S051.49.19.996 W058.26.20.080
S051.49.17.586 W058.26.09.271
S051.49.17.053 W058.26.07.214
S051.49.16.825 W058.26.06.965
S051.49.16.273 W058.26.07.256
S051.49.15.875 W058.26.08.468
S051.49.15.568 W058.26.08.655
S051.49.15.236 W058.26.08.471
S051.49.13.993 W058.26.10.437
S051.49.13.616 W058.26.09.721
S051.49.14.381 W058.26.08.385
S051.49.14.636 W058.26.08.232
S051.49.15.339 W058.26.07.136
S051.49.16.704 W058.26.06.282
S051.49.16.823 W058.26.05.910
S051.49.14.129 W058.25.53.776
S051.49.13.854 W058.25.52.545
S051.49.13.538 W058.25.52.310
S051.49.11.968 W058.25.53.256
S051.49.11.825 W058.25.53.635
S051.49.10.799 W058.25.54.177
S051.49.10.508 W058.25.53.036
S051.49.11.940 W058.25.52.309
S051.49.12.258 W058.25.51.340
S051.49.12.574 W058.25.51.216
S051.49.13.342 W058.25.51.768
S051.49.13.430 W058.25.51.684
S051.49.13.540 W058.25.51.125
S051.49.13.131 W058.25.49.597
S051.49.12.798 W058.25.48.670
S051.49.12.231 W058.25.47.633
S051.49.11.507 W058.25.46.731
S051.49.11.016 W058.25.46.300
S051.49.09.844 W058.25.45.694
S051.49.08.983 W058.25.45.628
S051.49.07.862 W058.25.45.797
S051.49.06.768 W058.25.46.528
S051.49.05.889 W058.25.47.522
S051.49.05.680 W058.25.47.766
S051.49.05.658 W058.25.48.180
S051.49.06.807 W058.25.50.992
S051.49.06.743 W058.25.51.680
S051.49.06.018 W058.25.52.415
S051.49.05.883 W058.25.52.716
S051.49.04.857 W058.25.53.899
S051.49.04.439 W058.25.53.000
S051.49.05.113 W058.25.52.215
S051.49.05.267 W058.25.52.211
S051.49.05.735 W058.25.51.677
S051.49.05.915 W058.25.50.061
S051.49.05.312 W058.25.48.631
S051.49.05.042 W058.25.48.487
S051.49.00.097 W058.25.54.011
; - Untitled_Polygon_12
REGIONNAME Mount Plesant
smrGreen S051.49.13.989 W058.28.30.295
S051.49.16.337 W058.28.31.185
S051.49.17.277 W058.28.31.726
S051.49.17.554 W058.28.31.445
S051.49.17.800 W058.28.29.493
S051.49.17.096 W058.28.28.821
S051.49.15.346 W058.28.28.353
S051.49.14.048 W058.28.29.444
